_id,type,level,miliseconds,action
207,5,27,1.58E+12,No
208,22,50,1.58E+12,No
209,22,44,1.58E+12,No
210,4,60,1.58E+12,Fwd
211,5,23,1.58E+12,No
212,22,52,1.58E+12,No
213,4,66,1.58E+12,Fwd
214,5,38,1.58E+12,No
215,22,46,1.58E+12,No
216,4,57,1.58E+12,No
217,5,44,1.58E+12,No
218,22,59,1.58E+12,No
219,22,104,1.58E+12,Stop
220,4,64,1.58E+12,Fwd
221,5,51,1.58E+12,No
222,22,55,1.58E+12,No
223,4,57,1.58E+12,No
224,5,41,1.58E+12,No
225,22,41,1.58E+12,No
226,4,35,1.58E+12,No
227,5,11,1.58E+12,No
228,22,40,1.58E+12,No
229,22,62,1.58E+12,Stop
230,4,26,1.58E+12,No
231,5,1,1.58E+12,No
232,22,58,1.58E+12,No
233,22,40,1.58E+12,No
234,4,35,1.58E+12,No
235,5,4,1.58E+12,No
236,22,39,1.58E+12,No
237,22,53,1.58E+12,No
238,4,40,1.58E+12,No
239,5,26,1.58E+12,No
240,22,40,1.58E+12,No
241,22,40,1.58E+12,No
242,4,50,1.58E+12,No
243,5,48,1.58E+12,No
244,22,43,1.58E+12,No
245,4,74,1.58E+12,Fwd
246,5,53,1.58E+12,No
247,4,54,1.58E+12,No
248,5,48,1.58E+12,No
249,4,50,1.58E+12,No
250,5,35,1.58E+12,No
251,22,40,1.58E+12,No
252,4,40,1.58E+12,No
253,5,27,1.58E+12,No
254,4,24,1.58E+12,No
255,5,30,1.58E+12,No
256,22,43,1.58E+12,No
257,4,40,1.58E+12,No
258,5,21,1.58E+12,No
259,22,41,1.58E+12,No
260,4,40,1.58E+12,No
261,5,21,1.58E+12,No
262,4,40,1.58E+12,No
263,5,21,1.58E+12,No
264,4,64,1.58E+12,Fwd
265,5,20,1.58E+12,No
266,22,108,1.58E+12,Stop
267,4,64,1.58E+12,Fwd
268,5,20,1.58E+12,No
269,22,126,1.58E+12,Stop
270,22,53,1.58E+12,No
271,4,64,1.58E+12,Fwd
272,5,20,1.58E+12,No
273,4,64,1.58E+12,Fwd
274,5,17,1.58E+12,No
275,4,64,1.58E+12,Fwd
276,5,17,1.58E+12,No
277,4,90,1.58E+12,Fwd
278,5,23,1.58E+12,No
279,4,84,1.58E+12,Fwd
280,5,38,1.58E+12,No
281,4,84,1.58E+12,Fwd
282,5,38,1.58E+12,No
283,4,84,1.58E+12,Fwd
284,5,38,1.58E+12,No
285,4,84,1.58E+12,Fwd
286,5,38,1.58E+12,No
287,4,84,1.58E+12,Fwd
288,5,38,1.58E+12,No
289,4,84,1.58E+12,Fwd
290,5,38,1.58E+12,No
291,4,84,1.58E+12,Fwd
292,5,38,1.58E+12,No
293,4,84,1.58E+12,Fwd
294,5,38,1.58E+12,No
295,4,84,1.58E+12,Fwd
296,5,38,1.58E+12,No
297,4,84,1.58E+12,Fwd
298,5,38,1.58E+12,No
299,4,84,1.58E+12,Fwd
300,5,38,1.58E+12,No
301,4,84,1.58E+12,Fwd
302,5,38,1.58E+12,No
303,4,84,1.58E+12,Fwd
304,5,38,1.58E+12,No
305,4,84,1.58E+12,Fwd
306,5,38,1.58E+12,No
307,4,77,1.58E+12,Fwd
308,5,40,1.58E+12,No
309,22,49,1.58E+12,No
310,4,80,1.58E+12,Fwd
311,5,43,1.58E+12,No
312,4,50,1.58E+12,No
313,5,38,1.58E+12,No
314,22,41,1.58E+12,No
315,22,62,1.58E+12,Stop
316,4,51,1.58E+12,No
317,5,34,1.58E+12,No
318,4,34,1.58E+12,No
319,5,38,1.58E+12,No
320,22,37,1.58E+12,No
321,4,29,1.58E+12,No
322,5,34,1.58E+12,No
323,4,29,1.58E+12,No
324,5,29,1.58E+12,No
325,22,38,1.58E+12,No
326,22,47,1.58E+12,No
327,22,38,1.58E+12,No
328,4,37,1.58E+12,No
329,5,26,1.58E+12,No
330,22,39,1.58E+12,No
331,22,41,1.58E+12,No
332,22,39,1.58E+12,No
333,4,47,1.58E+12,No
334,5,30,1.58E+12,No
335,22,57,1.58E+12,No
336,22,53,1.58E+12,No
337,4,51,1.58E+12,No
338,5,24,1.58E+12,No
339,22,56,1.58E+12,No
340,22,61,1.58E+12,Stop
341,4,51,1.58E+12,No
342,5,24,1.58E+12,No
343,4,51,1.58E+12,No
344,5,24,1.58E+12,No
345,4,51,1.58E+12,No
346,5,24,1.58E+12,No
347,4,51,1.58E+12,No
348,5,24,1.58E+12,No
349,4,51,1.58E+12,No
350,5,23,1.58E+12,No
351,4,51,1.58E+12,No
352,5,20,1.58E+12,No
353,22,71,1.58E+12,Stop
354,4,51,1.58E+12,No
355,5,13,1.58E+12,No
356,22,53,1.58E+12,No
357,22,46,1.58E+12,No
358,22,126,1.58E+12,Stop
359,22,50,1.58E+12,No
360,4,64,1.58E+12,Fwd
361,5,38,1.58E+12,No
362,4,64,1.58E+12,Fwd
363,5,38,1.58E+12,No
364,4,64,1.58E+12,Fwd
365,5,38,1.58E+12,No
366,4,64,1.58E+12,Fwd
367,5,38,1.58E+12,No
368,4,64,1.58E+12,Fwd
369,5,38,1.58E+12,No
370,4,70,1.58E+12,Fwd
371,5,26,1.58E+12,No
372,22,40,1.58E+12,No
373,22,37,1.58E+12,No
374,4,60,1.58E+12,Fwd
375,5,16,1.58E+12,No
376,22,55,1.58E+12,No
377,4,56,1.58E+12,No
378,5,10,1.58E+12,No
379,22,44,1.58E+12,No
380,22,43,1.58E+12,No
381,4,43,1.58E+12,No
382,5,1,1.58E+12,No
383,22,40,1.58E+12,No
384,22,52,1.58E+12,No
385,4,50,1.58E+12,No
386,5,8,1.58E+12,No
387,22,38,1.58E+12,No
388,22,42,1.58E+12,No
389,22,42,1.58E+12,No
390,4,40,1.58E+12,No
391,5,10,1.58E+12,No
392,22,46,1.58E+12,No
393,22,57,1.58E+12,No
394,4,37,1.58E+12,No
395,5,16,1.58E+12,No
396,22,42,1.58E+12,No
397,22,62,1.58E+12,Stop
398,4,40,1.58E+12,No
399,5,24,1.58E+12,No
400,22,61,1.58E+12,Stop
401,22,58,1.58E+12,No
402,22,50,1.58E+12,No
403,4,26,1.58E+12,No
404,5,13,1.58E+12,No
405,22,41,1.58E+12,No
406,22,44,1.58E+12,No
407,22,61,1.58E+12,Stop
408,22,40,1.58E+12,No
409,22,40,1.58E+12,No
410,4,27,1.58E+12,No
411,5,13,1.58E+12,No
412,4,29,1.58E+12,No
413,5,10,1.58E+12,No
414,4,38,1.58E+12,No
415,5,11,1.58E+12,No
416,22,46,1.58E+12,No
417,22,58,1.58E+12,No
418,4,37,1.58E+12,No
419,5,21,1.58E+12,No
420,4,37,1.58E+12,No
421,5,21,1.58E+12,No
422,22,47,1.58E+12,No
423,22,36,1.58E+12,No
424,4,54,1.58E+12,No
425,5,26,1.58E+12,No
426,22,35,1.58E+12,No
427,22,40,1.58E+12,No
428,4,56,1.58E+12,No
429,5,29,1.58E+12,No
430,22,37,1.58E+12,No
431,4,51,1.58E+12,No
432,5,35,1.58E+12,No
433,4,80,1.58E+12,Fwd
434,5,38,1.58E+12,No
435,4,81,1.58E+12,Fwd
436,5,48,1.58E+12,No
437,22,47,1.58E+12,No
438,22,57,1.58E+12,No
439,4,87,1.58E+12,Fwd
440,5,50,1.58E+12,No
441,22,40,1.58E+12,No
442,22,39,1.58E+12,No
