_id,type,level,miliseconds,action
2575,4,56,1.58E+12,No
2576,5,63,1.58E+12,Left
2577,4,56,1.58E+12,No
2578,5,74,1.58E+12,Left
2579,4,41,1.58E+12,No
2580,5,70,1.58E+12,Left
2581,4,41,1.58E+12,No
2582,5,67,1.58E+12,Left
2583,4,50,1.58E+12,No
2584,5,63,1.58E+12,Left
2585,4,56,1.58E+12,No
2586,5,57,1.58E+12,No
2587,4,77,1.58E+12,Fwd
2588,5,61,1.58E+12,Left
2589,4,94,1.58E+12,Fwd
2590,5,51,1.58E+12,No
2591,22,37,1.58E+12,No
2592,4,88,1.58E+12,Fwd
2593,5,50,1.58E+12,No
2594,4,77,1.58E+12,Fwd
2595,5,47,1.58E+12,No
2596,4,69,1.58E+12,Fwd
2597,5,41,1.58E+12,No
2598,4,51,1.58E+12,No
2599,5,48,1.58E+12,No
2600,4,60,1.58E+12,Fwd
2601,5,54,1.58E+12,No
2602,4,60,1.58E+12,Fwd
2603,5,63,1.58E+12,Left
2604,4,56,1.58E+12,No
2605,5,69,1.58E+12,Left
2606,4,64,1.58E+12,Fwd
2607,5,69,1.58E+12,Left
2608,4,61,1.58E+12,Fwd
2609,5,69,1.58E+12,Left
2610,4,66,1.58E+12,Fwd
2611,5,64,1.58E+12,Left
2612,4,60,1.58E+12,Fwd
2613,5,64,1.58E+12,Left
2614,4,56,1.58E+12,No
2615,5,56,1.58E+12,No
2616,4,69,1.58E+12,Fwd
2617,5,50,1.58E+12,No
2618,4,69,1.58E+12,Fwd
2619,5,51,1.58E+12,No
2620,4,80,1.58E+12,Fwd
2621,5,51,1.58E+12,No
2622,4,88,1.58E+12,Fwd
2623,5,61,1.58E+12,Left
2624,4,80,1.58E+12,Fwd
2625,5,69,1.58E+12,Left
2626,4,84,1.58E+12,Fwd
2627,5,67,1.58E+12,Left
2628,4,87,1.58E+12,Fwd
2629,5,67,1.58E+12,Left
2630,4,87,1.58E+12,Fwd
2631,5,66,1.58E+12,Left
2632,4,93,1.58E+12,Fwd
2633,5,61,1.58E+12,Left
2634,4,83,1.58E+12,Fwd
2635,5,57,1.58E+12,No
2636,4,81,1.58E+12,Fwd
2637,5,56,1.58E+12,No
2638,4,78,1.58E+12,Fwd
2639,5,60,1.58E+12,Left
2640,4,66,1.58E+12,Fwd
2641,5,61,1.58E+12,Left
2642,4,74,1.58E+12,Fwd
2643,5,69,1.58E+12,Left
2644,4,66,1.58E+12,Fwd
2645,5,75,1.58E+12,Left
2646,4,63,1.58E+12,Fwd
2647,5,67,1.58E+12,Left
2648,4,63,1.58E+12,Fwd
2649,5,75,1.58E+12,Left
2650,4,38,1.58E+12,No
2651,5,69,1.58E+12,Left
2652,4,35,1.58E+12,No
2653,5,75,1.58E+12,Left
2654,4,34,1.58E+12,No
2655,5,83,1.58E+12,Left
2656,4,43,1.58E+12,No
2657,5,70,1.58E+12,Left
2658,4,63,1.58E+12,Fwd
2659,5,78,1.58E+12,Left
2660,4,67,1.58E+12,Fwd
2661,5,77,1.58E+12,Left
2662,4,63,1.58E+12,Fwd
2663,5,67,1.58E+12,Left
2664,22,40,1.58E+12,No
2665,4,44,1.58E+12,No
2666,5,51,1.58E+12,No
2667,4,43,1.58E+12,No
2668,5,43,1.58E+12,No
2669,4,47,1.58E+12,No
2670,5,44,1.58E+12,No
2671,4,53,1.58E+12,No
2672,5,53,1.58E+12,No
2673,4,66,1.58E+12,Fwd
2674,5,77,1.58E+12,Left
2675,4,75,1.58E+12,Fwd
2676,5,75,1.58E+12,Left
2677,4,77,1.58E+12,Fwd
2678,5,74,1.58E+12,Left
2679,4,84,1.58E+12,Fwd
2680,5,64,1.58E+12,Left
2681,4,87,1.58E+12,Fwd
2682,5,64,1.58E+12,Left
2683,4,80,1.58E+12,Fwd
2684,5,69,1.58E+12,Left
2685,4,66,1.58E+12,Fwd
2686,5,57,1.58E+12,No
2687,4,50,1.58E+12,No
2688,5,63,1.58E+12,Left
2689,4,50,1.58E+12,No
2690,5,64,1.58E+12,Left
2691,22,41,1.58E+12,No
2692,4,51,1.58E+12,No
2693,5,54,1.58E+12,No
2694,22,39,1.58E+12,No
2695,4,67,1.58E+12,Fwd
2696,5,63,1.58E+12,Left
2697,22,53,1.58E+12,No
2698,22,45,1.58E+12,No
2699,22,41,1.58E+12,No
2700,4,61,1.58E+12,Fwd
2701,5,60,1.58E+12,Left
2702,22,43,1.58E+12,No
2703,4,44,1.58E+12,No
2704,5,61,1.58E+12,Left
2705,4,41,1.58E+12,No
2706,5,78,1.58E+12,Left
2707,4,24,1.58E+12,No
2708,5,70,1.58E+12,Left
2709,4,43,1.58E+12,No
2710,5,70,1.58E+12,Left
2711,4,54,1.58E+12,No
2712,5,56,1.58E+12,No
2713,4,63,1.58E+12,Fwd
2714,5,50,1.58E+12,No
2715,4,75,1.58E+12,Fwd
2716,5,57,1.58E+12,No
2717,4,77,1.58E+12,Fwd
2718,5,48,1.58E+12,No
2719,4,63,1.58E+12,Fwd
2720,5,51,1.58E+12,No
2721,22,46,1.58E+12,No
2722,4,47,1.58E+12,No
2723,5,60,1.58E+12,Left
2724,22,42,1.58E+12,No
2725,4,30,1.58E+12,No
2726,5,53,1.58E+12,No
2727,22,47,1.58E+12,No
2728,4,10,1.58E+12,No
2729,5,60,1.58E+12,Left
2730,4,23,1.58E+12,No
2731,5,66,1.58E+12,Left
2732,4,35,1.58E+12,No
2733,5,57,1.58E+12,No
2734,4,51,1.58E+12,No
2735,5,60,1.58E+12,Left
2736,4,63,1.58E+12,Fwd
2737,5,66,1.58E+12,Left
2738,4,60,1.58E+12,Fwd
2739,5,70,1.58E+12,Left
2740,4,63,1.58E+12,Fwd
2741,5,69,1.58E+12,Left
2742,4,69,1.58E+12,Fwd
2743,5,78,1.58E+12,Left
2744,4,67,1.58E+12,Fwd
2745,5,90,1.58E+12,Left
2746,4,74,1.58E+12,Fwd
2747,5,83,1.58E+12,Left
2748,4,67,1.58E+12,Fwd
2749,5,78,1.58E+12,Left
2750,4,48,1.58E+12,No
2751,5,81,1.58E+12,Left
2752,4,53,1.58E+12,No
2753,5,67,1.58E+12,Left
2754,22,36,1.58E+12,No
2755,4,48,1.58E+12,No
2756,5,66,1.58E+12,Left
2757,4,53,1.58E+12,No
2758,5,74,1.58E+12,Left
2759,4,56,1.58E+12,No
2760,5,74,1.58E+12,Left
2761,4,57,1.58E+12,No
2762,5,75,1.58E+12,Left
2763,4,64,1.58E+12,Fwd
2764,5,78,1.58E+12,Left
2765,4,66,1.58E+12,Fwd
2766,5,78,1.58E+12,Left
2767,4,74,1.58E+12,Fwd
2768,5,74,1.58E+12,Left
2769,4,69,1.58E+12,Fwd
2770,5,67,1.58E+12,Left
2771,4,70,1.58E+12,Fwd
2772,5,67,1.58E+12,Left
2773,4,66,1.58E+12,Fwd
2774,5,70,1.58E+12,Left
2775,4,69,1.58E+12,Fwd
2776,5,77,1.58E+12,Left
2777,4,69,1.58E+12,Fwd
2778,5,83,1.58E+12,Left
2779,4,60,1.58E+12,Fwd
2780,5,83,1.58E+12,Left
2781,4,60,1.58E+12,Fwd
2782,5,77,1.58E+12,Left
2783,4,61,1.58E+12,Fwd
2784,5,61,1.58E+12,Left
2785,4,67,1.58E+12,Fwd
2786,5,60,1.58E+12,Left
2787,4,78,1.58E+12,Fwd
2788,5,53,1.58E+12,No
2789,4,80,1.58E+12,Fwd
2790,5,51,1.58E+12,No
2791,4,69,1.58E+12,Fwd
2792,5,54,1.58E+12,No
2793,4,70,1.58E+12,Fwd
2794,5,60,1.58E+12,Left
2795,4,64,1.58E+12,Fwd
2796,5,63,1.58E+12,Left
2797,4,64,1.58E+12,Fwd
2798,5,69,1.58E+12,Left
2799,4,81,1.58E+12,Fwd
2800,5,75,1.58E+12,Left
2801,4,75,1.58E+12,Fwd
2802,5,70,1.58E+12,Left
2803,4,77,1.58E+12,Fwd
2804,5,61,1.58E+12,Left
2805,4,69,1.58E+12,Fwd
2806,5,57,1.58E+12,No
2807,4,69,1.58E+12,Fwd
2808,5,51,1.58E+12,No
2809,4,48,1.58E+12,No
2810,5,50,1.58E+12,No
2811,4,50,1.58E+12,No
2812,5,61,1.58E+12,Left
2813,4,51,1.58E+12,No
2814,5,70,1.58E+12,Left
2815,4,37,1.58E+12,No
2816,5,78,1.58E+12,Left
2817,4,54,1.58E+12,No
2818,5,80,1.58E+12,Left
2819,4,51,1.58E+12,No
2820,5,78,1.58E+12,Left
2821,4,50,1.58E+12,No
2822,5,70,1.58E+12,Left
2823,4,53,1.58E+12,No
2824,5,80,1.58E+12,Left
2825,4,60,1.58E+12,Fwd
2826,5,61,1.58E+12,Left
2827,4,57,1.58E+12,No
2828,5,61,1.58E+12,Left
2829,4,61,1.58E+12,Fwd
2830,5,61,1.58E+12,Left
2831,4,61,1.58E+12,Fwd
2832,5,53,1.58E+12,No
2833,4,75,1.58E+12,Fwd
2834,5,57,1.58E+12,No
2835,4,88,1.58E+12,Fwd
2836,5,48,1.58E+12,No
2837,4,93,1.58E+12,Fwd
2838,5,41,1.58E+12,No
2839,4,91,1.58E+12,Fwd
2840,5,44,1.58E+12,No
2841,4,67,1.58E+12,Fwd
2842,5,60,1.58E+12,Left
2843,4,51,1.58E+12,No
2844,5,60,1.58E+12,Left
2845,22,40,1.58E+12,No
2846,4,27,1.58E+12,No
2847,5,50,1.58E+12,No
2848,22,37,1.58E+12,No
2849,22,38,1.58E+12,No
2850,4,10,1.58E+12,No
2851,5,44,1.58E+12,No
2852,4,3,1.58E+12,No
2853,5,24,1.58E+12,No
2854,4,3,1.58E+12,No
2855,5,27,1.58E+12,No
2856,22,46,1.58E+12,No
2857,4,7,1.58E+12,No
2858,5,35,1.58E+12,No
2859,4,20,1.58E+12,No
2860,5,38,1.58E+12,No
2861,4,29,1.58E+12,No
2862,5,50,1.58E+12,No
2863,4,29,1.58E+12,No
2864,5,47,1.58E+12,No
2865,4,53,1.58E+12,No
2866,5,56,1.58E+12,No
2867,4,61,1.58E+12,Fwd
2868,5,63,1.58E+12,Left
2869,4,70,1.58E+12,Fwd
2870,5,57,1.58E+12,No
2871,22,42,1.58E+12,No
2872,4,75,1.58E+12,Fwd
2873,5,69,1.58E+12,Left
2874,22,39,1.58E+12,No
2875,4,70,1.58E+12,Fwd
2876,5,67,1.58E+12,Left
2877,4,54,1.58E+12,No
2878,5,64,1.58E+12,Left
2879,22,41,1.58E+12,No
2880,22,57,1.58E+12,No
2881,4,35,1.58E+12,No
2882,5,63,1.58E+12,Left
2883,4,26,1.58E+12,No
2884,5,60,1.58E+12,Left
2885,4,23,1.58E+12,No
2886,5,53,1.58E+12,No
2887,4,38,1.58E+12,No
2888,5,48,1.58E+12,No
2889,4,50,1.58E+12,No
2890,5,54,1.58E+12,No
2891,4,67,1.58E+12,Fwd
2892,5,51,1.58E+12,No
2893,4,69,1.58E+12,Fwd
2894,5,54,1.58E+12,No
2895,4,74,1.58E+12,Fwd
2896,5,60,1.58E+12,Left
2897,4,80,1.58E+12,Fwd
2898,5,53,1.58E+12,No
2899,4,74,1.58E+12,Fwd
2900,5,64,1.58E+12,Left
2901,4,83,1.58E+12,Fwd
2902,5,63,1.58E+12,Left
2903,4,91,1.58E+12,Fwd
2904,5,47,1.58E+12,No
2905,4,91,1.58E+12,Fwd
2906,5,53,1.58E+12,No
2907,4,93,1.58E+12,Fwd
2908,5,47,1.58E+12,No
2909,4,88,1.58E+12,Fwd
2910,5,48,1.58E+12,No
2911,4,78,1.58E+12,Fwd
2912,5,63,1.58E+12,Left
2913,22,34,1.58E+12,No
2914,4,66,1.58E+12,Fwd
2915,5,66,1.58E+12,Left
2916,4,69,1.58E+12,Fwd
2917,5,53,1.58E+12,No
2918,4,64,1.58E+12,Fwd
2919,5,50,1.58E+12,No
2920,4,67,1.58E+12,Fwd
2921,5,54,1.58E+12,No
2922,4,80,1.58E+12,Fwd
2923,5,48,1.58E+12,No
2924,4,75,1.58E+12,Fwd
2925,5,54,1.58E+12,No
2926,4,78,1.58E+12,Fwd
2927,5,64,1.58E+12,Left
2928,4,84,1.58E+12,Fwd
2929,5,56,1.58E+12,No
2930,4,75,1.58E+12,Fwd
2931,5,57,1.58E+12,No
2932,4,74,1.58E+12,Fwd
2933,5,66,1.58E+12,Left
2934,4,67,1.58E+12,Fwd
2935,5,70,1.58E+12,Left
2936,4,61,1.58E+12,Fwd
2937,5,77,1.58E+12,Left
2938,4,60,1.58E+12,Fwd
2939,5,81,1.58E+12,Left
2940,4,57,1.58E+12,No
2941,5,83,1.58E+12,Left
2942,4,61,1.58E+12,Fwd
2943,5,77,1.58E+12,Left
2944,4,43,1.58E+12,No
2945,5,74,1.58E+12,Left
2946,4,44,1.58E+12,No
2947,5,74,1.58E+12,Left
2948,4,48,1.58E+12,No
2949,5,74,1.58E+12,Left
2950,4,44,1.58E+12,No
2951,5,77,1.58E+12,Left
2952,4,56,1.58E+12,No
2953,5,78,1.58E+12,Left
2954,4,63,1.58E+12,Fwd
2955,5,66,1.58E+12,Left
2956,4,57,1.58E+12,No
2957,5,60,1.58E+12,Left
2958,4,61,1.58E+12,Fwd
2959,5,56,1.58E+12,No
2960,4,69,1.58E+12,Fwd
2961,5,54,1.58E+12,No
2962,4,69,1.58E+12,Fwd
2963,5,63,1.58E+12,Left
2964,4,57,1.58E+12,No
2965,5,50,1.58E+12,No
2966,22,59,1.58E+12,No
2967,22,63,1.58E+12,Stop
2968,4,38,1.58E+12,No
2969,5,43,1.58E+12,No
2970,4,34,1.58E+12,No
2971,5,44,1.58E+12,No
2972,22,38,1.58E+12,No
2973,4,7,1.58E+12,No
2974,5,17,1.58E+12,No
2975,4,21,1.58E+12,No
2976,5,30,1.58E+12,No
2977,4,38,1.58E+12,No
2978,5,30,1.58E+12,No
2979,4,35,1.58E+12,No
2980,5,24,1.58E+12,No
2981,4,54,1.58E+12,No
2982,5,48,1.58E+12,No
2983,4,53,1.58E+12,No
2984,5,56,1.58E+12,No
2985,4,47,1.58E+12,No
2986,5,56,1.58E+12,No
2987,4,54,1.58E+12,No
2988,5,61,1.58E+12,Left
2989,4,66,1.58E+12,Fwd
2990,5,66,1.58E+12,Left
2991,4,57,1.58E+12,No
2992,5,57,1.58E+12,No
2993,4,70,1.58E+12,Fwd
2994,5,63,1.58E+12,Left
2995,4,66,1.58E+12,Fwd
2996,5,67,1.58E+12,Left
2997,4,63,1.58E+12,Fwd
2998,5,64,1.58E+12,Left
2999,4,48,1.58E+12,No
3000,5,56,1.58E+12,No
3001,22,41,1.58E+12,No
3002,4,23,1.58E+12,No
3003,5,64,1.58E+12,Left
3004,4,14,1.58E+12,No
3005,5,57,1.58E+12,No
3006,4,1,1.58E+12,No
3007,5,51,1.58E+12,No
3008,4,26,1.58E+12,No
3009,5,67,1.58E+12,Left
3010,4,40,1.58E+12,No
3011,5,60,1.58E+12,Left
3012,4,54,1.58E+12,No
3013,5,63,1.58E+12,Left
3014,4,77,1.58E+12,Fwd
3015,5,74,1.58E+12,Left
3016,4,78,1.58E+12,Fwd
3017,5,66,1.58E+12,Left
3018,4,88,1.58E+12,Fwd
3019,5,64,1.58E+12,Left
3020,4,84,1.58E+12,Fwd
3021,5,63,1.58E+12,Left
3022,4,70,1.58E+12,Fwd
3023,5,66,1.58E+12,Left
3024,4,64,1.58E+12,Fwd
3025,5,67,1.58E+12,Left
3026,4,60,1.58E+12,Fwd
3027,5,70,1.58E+12,Left
3028,4,66,1.58E+12,Fwd
3029,5,66,1.58E+12,Left
3030,4,84,1.58E+12,Fwd
3031,5,48,1.58E+12,No
3032,4,84,1.58E+12,Fwd
3033,5,44,1.58E+12,No
3034,4,80,1.58E+12,Fwd
3035,5,53,1.58E+12,No
3036,4,70,1.58E+12,Fwd
3037,5,66,1.58E+12,Left
3038,4,54,1.58E+12,No
3039,5,81,1.58E+12,Left
3040,4,60,1.58E+12,Fwd
3041,5,80,1.58E+12,Left
3042,4,66,1.58E+12,Fwd
3043,5,78,1.58E+12,Left
3044,4,64,1.58E+12,Fwd
3045,5,77,1.58E+12,Left
3046,4,77,1.58E+12,Fwd
3047,5,78,1.58E+12,Left
3048,4,57,1.58E+12,No
3049,5,67,1.58E+12,Left
3050,4,60,1.58E+12,Fwd
3051,5,61,1.58E+12,Left
3052,4,47,1.58E+12,No
3053,5,47,1.58E+12,No
3054,4,27,1.58E+12,No
3055,5,26,1.58E+12,No
3056,4,43,1.58E+12,No
3057,5,40,1.58E+12,No
3058,22,39,1.58E+12,No
3059,4,23,1.58E+12,No
3060,5,30,1.58E+12,No
3061,22,40,1.58E+12,No
3062,22,39,1.58E+12,No
3063,4,27,1.58E+12,No
3064,5,35,1.58E+12,No
3065,4,40,1.58E+12,No
3066,5,50,1.58E+12,No
3067,4,34,1.58E+12,No
3068,5,44,1.58E+12,No
3069,22,40,1.58E+12,No
3070,4,34,1.58E+12,No
3071,5,57,1.58E+12,No
3072,4,57,1.58E+12,No
3073,5,54,1.58E+12,No
3074,4,64,1.58E+12,Fwd
3075,5,38,1.58E+12,No
3076,4,83,1.58E+12,Fwd
3077,5,38,1.58E+12,No
3078,4,100,1.58E+12,Fwd
3079,5,40,1.58E+12,No
3080,4,96,1.58E+12,Fwd
3081,5,53,1.58E+12,No
3082,4,100,1.58E+12,Fwd
3083,5,61,1.58E+12,Left
3084,4,78,1.58E+12,Fwd
3085,5,48,1.58E+12,No
3086,4,75,1.58E+12,Fwd
3087,5,27,1.58E+12,No
3088,4,75,1.58E+12,Fwd
3089,5,21,1.58E+12,No
3090,4,64,1.58E+12,Fwd
3091,5,29,1.58E+12,No
3092,4,70,1.58E+12,Fwd
3093,5,43,1.58E+12,No
3094,4,69,1.58E+12,Fwd
3095,5,67,1.58E+12,Left
3096,4,63,1.58E+12,Fwd
3097,5,69,1.58E+12,Left
3098,4,53,1.58E+12,No
3099,5,64,1.58E+12,Left
3100,4,56,1.58E+12,No
3101,5,70,1.58E+12,Left
3102,4,53,1.58E+12,No
3103,5,67,1.58E+12,Left
3104,4,47,1.58E+12,No
3105,5,77,1.58E+12,Left
3106,4,61,1.58E+12,Fwd
3107,5,74,1.58E+12,Left
3108,4,63,1.58E+12,Fwd
3109,5,66,1.58E+12,Left
3110,4,63,1.58E+12,Fwd
3111,5,60,1.58E+12,Left
3112,4,75,1.58E+12,Fwd
3113,5,51,1.58E+12,No
3114,4,75,1.58E+12,Fwd
3115,5,56,1.58E+12,No
3116,4,75,1.58E+12,Fwd
3117,5,61,1.58E+12,Left
3118,4,88,1.58E+12,Fwd
3119,5,61,1.58E+12,Left
3120,4,75,1.58E+12,Fwd
3121,5,53,1.58E+12,No
3122,4,81,1.58E+12,Fwd
3123,5,47,1.58E+12,No
3124,4,81,1.58E+12,Fwd
3125,5,44,1.58E+12,No
3126,4,77,1.58E+12,Fwd
3127,5,47,1.58E+12,No
3128,4,87,1.58E+12,Fwd
3129,5,57,1.58E+12,No
3130,4,81,1.58E+12,Fwd
3131,5,61,1.58E+12,Left
3132,4,77,1.58E+12,Fwd
3133,5,67,1.58E+12,Left
3134,4,67,1.58E+12,Fwd
3135,5,70,1.58E+12,Left
3136,4,61,1.58E+12,Fwd
3137,5,64,1.58E+12,Left
3138,4,57,1.58E+12,No
3139,5,61,1.58E+12,Left
3140,4,64,1.58E+12,Fwd
3141,5,56,1.58E+12,No
3142,4,77,1.58E+12,Fwd
3143,5,51,1.58E+12,No
3144,4,84,1.58E+12,Fwd
3145,5,56,1.58E+12,No
3146,4,90,1.58E+12,Fwd
3147,5,60,1.58E+12,Left
3148,4,87,1.58E+12,Fwd
3149,5,64,1.58E+12,Left
3150,4,83,1.58E+12,Fwd
3151,5,74,1.58E+12,Left
3152,4,87,1.58E+12,Fwd
3153,5,74,1.58E+12,Left
3154,4,81,1.58E+12,Fwd
3155,5,78,1.58E+12,Left
3156,4,83,1.58E+12,Fwd
3157,5,78,1.58E+12,Left
3158,4,81,1.58E+12,Fwd
3159,5,75,1.58E+12,Left
3160,4,78,1.58E+12,Fwd
3161,5,66,1.58E+12,Left
3162,4,80,1.58E+12,Fwd
3163,5,66,1.58E+12,Left
3164,4,75,1.58E+12,Fwd
3165,5,63,1.58E+12,Left
3166,4,64,1.58E+12,Fwd
3167,5,60,1.58E+12,Left
3168,4,57,1.58E+12,No
3169,5,61,1.58E+12,Left
3170,4,56,1.58E+12,No
3171,5,57,1.58E+12,No
3172,4,61,1.58E+12,Fwd
3173,5,56,1.58E+12,No
3174,22,42,1.58E+12,No
3175,4,63,1.58E+12,Fwd
3176,5,51,1.58E+12,No
3177,4,69,1.58E+12,Fwd
3178,5,53,1.58E+12,No
3179,4,78,1.58E+12,Fwd
3180,5,50,1.58E+12,No
3181,4,54,1.58E+12,No
3182,5,41,1.58E+12,No
3183,4,54,1.58E+12,No
3184,5,40,1.58E+12,No
3185,4,54,1.58E+12,No
3186,5,40,1.58E+12,No
3187,4,43,1.58E+12,No
3188,5,38,1.58E+12,No
3189,4,66,1.58E+12,Fwd
3190,5,51,1.58E+12,No
3191,4,64,1.58E+12,Fwd
3192,5,57,1.58E+12,No
3193,4,63,1.58E+12,Fwd
3194,5,63,1.58E+12,Left
3195,4,74,1.58E+12,Fwd
3196,5,61,1.58E+12,Left
3197,4,69,1.58E+12,Fwd
3198,5,54,1.58E+12,No
3199,4,77,1.58E+12,Fwd
3200,5,56,1.58E+12,No
3201,4,78,1.58E+12,Fwd
3202,5,44,1.58E+12,No
3203,4,78,1.58E+12,Fwd
3204,5,51,1.58E+12,No
3205,4,81,1.58E+12,Fwd
3206,5,51,1.58E+12,No
3207,4,90,1.58E+12,Fwd
3208,5,54,1.58E+12,No
3209,4,94,1.58E+12,Fwd
3210,5,54,1.58E+12,No
3211,4,91,1.58E+12,Fwd
3212,5,56,1.58E+12,No
3213,4,81,1.58E+12,Fwd
3214,5,64,1.58E+12,Left
3215,4,80,1.58E+12,Fwd
3216,5,50,1.58E+12,No
3217,4,67,1.58E+12,Fwd
3218,5,64,1.58E+12,Left
3219,4,57,1.58E+12,No
3220,5,70,1.58E+12,Left
3221,22,41,1.58E+12,No
3222,4,50,1.58E+12,No
3223,5,54,1.58E+12,No
3224,22,55,1.58E+12,No
3225,22,40,1.58E+12,No
3226,4,30,1.58E+12,No
3227,5,69,1.58E+12,Left
3228,22,54,1.58E+12,No
3229,4,17,1.58E+12,No
3230,5,61,1.58E+12,Left
3231,22,49,1.58E+12,No
3232,4,13,1.58E+12,No
3233,5,53,1.58E+12,No
3234,4,27,1.58E+12,No
3235,5,64,1.58E+12,Left
3236,4,35,1.58E+12,No
3237,5,74,1.58E+12,Left
3238,4,54,1.58E+12,No
3239,5,70,1.58E+12,Left
3240,4,66,1.58E+12,Fwd
3241,5,77,1.58E+12,Left
3242,4,57,1.58E+12,No
3243,5,88,1.58E+12,Left
3244,4,67,1.58E+12,Fwd
3245,5,75,1.58E+12,Left
3246,4,47,1.58E+12,No
3247,5,67,1.58E+12,Left
3248,4,30,1.58E+12,No
3249,5,75,1.58E+12,Left
3250,22,60,1.58E+12,Stop
3251,4,24,1.58E+12,No
3252,5,56,1.58E+12,No
3253,22,44,1.58E+12,No
3254,22,45,1.58E+12,No
3255,4,24,1.58E+12,No
3256,5,56,1.58E+12,No
3257,4,1,1.58E+12,No
3258,5,54,1.58E+12,No
3259,4,20,1.58E+12,No
3260,5,61,1.58E+12,Left
3261,4,20,1.58E+12,No
3262,5,41,1.58E+12,No
3263,4,16,1.58E+12,No
3264,5,48,1.58E+12,No
3265,4,30,1.58E+12,No
3266,5,60,1.58E+12,Left
3267,4,26,1.58E+12,No
3268,5,57,1.58E+12,No
3269,4,41,1.58E+12,No
3270,5,66,1.58E+12,Left
3271,4,48,1.58E+12,No
3272,5,63,1.58E+12,Left
3273,4,54,1.58E+12,No
3274,5,75,1.58E+12,Left
3275,4,74,1.58E+12,Fwd
3276,5,66,1.58E+12,Left
3277,4,67,1.58E+12,Fwd
3278,5,77,1.58E+12,Left
3279,4,75,1.58E+12,Fwd
3280,5,70,1.58E+12,Left
3281,4,81,1.58E+12,Fwd
3282,5,48,1.58E+12,No
3283,4,66,1.58E+12,Fwd
3284,5,57,1.58E+12,No
3285,4,57,1.58E+12,No
3286,5,54,1.58E+12,No
3287,4,54,1.58E+12,No
3288,5,60,1.58E+12,Left
3289,4,54,1.58E+12,No
3290,5,66,1.58E+12,Left
3291,4,53,1.58E+12,No
3292,5,63,1.58E+12,Left
3293,4,70,1.58E+12,Fwd
3294,5,60,1.58E+12,Left
3295,4,66,1.58E+12,Fwd
3296,5,64,1.58E+12,Left
3297,4,63,1.58E+12,Fwd
3298,5,63,1.58E+12,Left
3299,4,69,1.58E+12,Fwd
3300,5,67,1.58E+12,Left
3301,4,57,1.58E+12,No
3302,5,69,1.58E+12,Left
3303,4,57,1.58E+12,No
3304,5,70,1.58E+12,Left
3305,4,54,1.58E+12,No
3306,5,56,1.58E+12,No
3307,4,41,1.58E+12,No
3308,5,44,1.58E+12,No
3309,4,43,1.58E+12,No
3310,5,38,1.58E+12,No
3311,4,50,1.58E+12,No
3312,5,40,1.58E+12,No
3313,4,56,1.58E+12,No
3314,5,54,1.58E+12,No
3315,4,78,1.58E+12,Fwd
3316,5,51,1.58E+12,No
3317,4,83,1.58E+12,Fwd
3318,5,60,1.58E+12,Left
3319,4,80,1.58E+12,Fwd
3320,5,64,1.58E+12,Left
3321,4,81,1.58E+12,Fwd
3322,5,64,1.58E+12,Left
3323,22,34,1.58E+12,No
3324,4,61,1.58E+12,Fwd
3325,5,77,1.58E+12,Left
3326,4,67,1.58E+12,Fwd
3327,5,66,1.58E+12,Left
3328,4,74,1.58E+12,Fwd
3329,5,53,1.58E+12,No
3330,4,75,1.58E+12,Fwd
3331,5,53,1.58E+12,No
3332,4,78,1.58E+12,Fwd
3333,5,63,1.58E+12,Left
3334,4,75,1.58E+12,Fwd
3335,5,70,1.58E+12,Left
3336,4,69,1.58E+12,Fwd
3337,5,69,1.58E+12,Left
3338,4,66,1.58E+12,Fwd
3339,5,61,1.58E+12,Left
3340,4,67,1.58E+12,Fwd
3341,5,50,1.58E+12,No
3342,4,61,1.58E+12,Fwd
3343,5,51,1.58E+12,No
3344,4,77,1.58E+12,Fwd
3345,5,47,1.58E+12,No
3346,4,81,1.58E+12,Fwd
3347,5,53,1.58E+12,No
3348,4,97,1.58E+12,Fwd
3349,5,48,1.58E+12,No
3350,4,88,1.58E+12,Fwd
3351,5,37,1.58E+12,No
3352,4,83,1.58E+12,Fwd
3353,5,34,1.58E+12,No
3354,4,75,1.58E+12,Fwd
3355,5,34,1.58E+12,No
3356,4,64,1.58E+12,Fwd
3357,5,27,1.58E+12,No
3358,4,88,1.58E+12,Fwd
3359,5,29,1.58E+12,No
3360,4,77,1.58E+12,Fwd
3361,5,40,1.58E+12,No
3362,4,81,1.58E+12,Fwd
3363,5,43,1.58E+12,No
3364,22,34,1.58E+12,No
3365,4,66,1.58E+12,Fwd
3366,5,51,1.58E+12,No
3367,4,56,1.58E+12,No
3368,5,61,1.58E+12,Left
3369,4,66,1.58E+12,Fwd
3370,5,67,1.58E+12,Left
3371,4,57,1.58E+12,No
3372,5,64,1.58E+12,Left
3373,4,70,1.58E+12,Fwd
3374,5,75,1.58E+12,Left
3375,4,75,1.58E+12,Fwd
3376,5,74,1.58E+12,Left
3377,4,74,1.58E+12,Fwd
3378,5,66,1.58E+12,Left
3379,4,83,1.58E+12,Fwd
3380,5,64,1.58E+12,Left
3381,4,87,1.58E+12,Fwd
3382,5,61,1.58E+12,Left
3383,4,83,1.58E+12,Fwd
3384,5,57,1.58E+12,No
3385,4,81,1.58E+12,Fwd
3386,5,54,1.58E+12,No
3387,4,87,1.58E+12,Fwd
3388,5,47,1.58E+12,No
